# Quiz Questions - Georgian Learning
# Format: Question|Answer1|Answer2|Answer3|Answer4|CorrectAnswerIndex|Points
# CorrectAnswerIndex is 0-3 (which answer is correct)

		# es kitxvebi ais davawerineee

What is the capital of France?|Paris|London|Berlin|Madrid|0|1
Which planet is known as the Red Planet?|Venus|Mars|Jupiter|Saturn|1|1
Who wrote Romeo and Juliet?|Jane Austen|William Shakespeare|Charles Dickens|Mark Twain|1|2
What is the largest ocean on Earth?|Atlantic|Indian|Arctic|Pacific|3|1
In what year did World War II end?|1944|1945|1946|1943|1|2
What is the chemical symbol for Gold?|Ag|Au|Gd|Gl|1|1
Who painted the Mona Lisa?|Michelangelo|Leonardo da Vinci|Raphael|Donatello|1|2
What is the square root of 144?|10|12|14|11|1|1
How many continents are there?|6|7|8|5|1|1
What is the smallest prime number?|1|2|3|0|1|1
What is 10 + 5?|14|15|16|17|1|1
What color is the sky on a clear day?|Red|Blue|Green|Yellow|1|1
Which is the largest mammal?|Elephant|Blue Whale|Giraffe|Rhino|1|1
What year did the Titanic sink?|1912|1911|1913|1914|0|1
How many sides does a triangle have?|2|3|4|5|1|1
